Model Name,Parameters,Tokens/Params,Tokens,Batch Size,Smoothed Loss,eval_gauntlet/world_knowledge,eval_gauntlet/reading_comprehension,eval_gauntlet/language_understanding,eval_gauntlet/commonsense_reasoning,eval_gauntlet/symbolic_problem_solving,eval_gauntlet/core_average,mmlu_5_shot_avg
750M,749000000.0,20,14980000000.0,480.0,2.9654878616333000,0.12885042218092900,0.07777241037951580,0.2362401857972150,0.11489827292306100,0.04107081554830070,0.11976642136580400,0.25328197264880500
750M,749000000.0,30,22470000000.0,480.0,2.909604072570800,0.14894882525094100,0.09792808526092110,0.22910639892021800,0.12052722488130800,0.04058203203603630,0.1274185132698850,0.2593373373935100
750M,749000000.0,50,37450000000.0,480.0,2.832917086283370,0.1727422731127920,0.07283861935138700,0.2664676234126090,0.12414229483831500,0.03330861733605470,0.13389988561023100,0.25455590455155600
750M,749000000.0,75,56175000000.0,480.0,2.771007466316220,0.1826475096648640,0.09820013658867950,0.3138106440504390,0.12102742422194700,0.02525925301015380,0.14818899350721700,0.2567484582725320
750M,749000000.0,100,74900000000.0,480.0,2.7579438209533700,0.19123244411284800,0.11768820799059300,0.32667385041713700,0.12993614162717500,0.04335030564107000,0.16177618995776500,0.25149556759156700
750M,749000000.0,250,187250000000.0,480.0,2.7106141567230200,0.20917694087069500,0.11835097604327700,0.36334921419620500,0.1583353621619090,0.034391729502628300,0.1767208445549430,0.24676482065727800
750M,749000000.0,500,374500000000.0,480.0,2.6579698880513500,0.23970697130463300,0.155288385020362,0.40425800283749900,0.14715651671091700,0.04843409570554890,0.19896879431579200,0.2423598891810370
1.3B,1260000000.0,10,12600000000.0,960.0,3.083776593208310,0.09601568160837310,0.06696245777938100,0.19741744051377000,0.07202432269141790,0.0355143840269496,0.09358685732397830,0.24916672706604000
1.3B,1260000000.0,15,18900000000.0,960.0,2.9489418983459500,0.1273273617263380,0.06575047969818120,0.22337951262792000,0.07070864949907580,0.035582332871854300,0.10454966728467400,0.2520469811401870
1.3B,1260000000.0,20,25200000000.0,960.0,2.87203996181488,0.145555299938952,0.0936330258846283,0.250867081185182,0.103212762446631,0.0399003845639527,0.126633710803869,0.24785571244725000
1.3B,1260000000.0,30,37800000000.0,960.0,2.802478075027470,0.1643101882737780,0.09440217001570590,0.2906835650404290,0.09838366792315530,0.03423257352163400,0.13640243295494000,0.24871002320657700
1.3B,1260000000.0,50,63000000000.0,960.0,2.7251266956329300,0.19849095792885400,0.13315078450573800,0.32487960408131300,0.10435209103993000,0.03902191817760470,0.15997907114668800,0.2585380461655170
1.3B,1260000000.0,75,94500000000.0,960.0,2.6651528517405200,0.21687844651469800,0.11742096891005800,0.370886966586113,0.1680441300074260,0.029324566107243300,0.18051101562510800,0.25385198049378000
1.3B,1260000000.0,100,126000000000.0,960.0,2.6512885093689000,0.23486882918033200,0.14040013319916200,0.39521657427152,0.15621874162129000,0.02508565504103900,0.19035798666266900,0.24948882376938500
1.3B,1260000000.0,250,315000000000.0,960.0,2.570774054527280,0.2710205243025370,0.14371209343274400,0.4670662631591160,0.17820501043683000,0.03249667560060820,0.21850011338636700,0.25101804628706800
2.5B,2460000000.0,10,24600000000.0,960.0,2.8199289639790900,0.16448395540520200,0.11941279056999400,0.2812361940741540,0.1243612283752080,0.03353850574543080,0.1446065348339980,0.24421815940162600
2.5B,2460000000.0,15,36900000000.0,960.0,2.732200050354000,0.19010839735250400,0.10696998569700500,0.3245167483886080,0.11449514684223000,0.04688023636117580,0.15659410292830400,0.24854591096702400
2.5B,2460000000.0,20,49200000000.0,960.0,2.670179748535160,0.217135084224375,0.13699311349127,0.379587863882383,0.14532003232411,0.0329434177217384,0.182395902328775,0.24353488260193900
2.5B,2460000000.0,50,123000000000.0,960.0,2.5508208751678500,0.272637814870122,0.122134177221192,0.460760618249575,0.210848382541112,0.0446392156804601,0.222204041712492,0.24880613203634300
2.5B,2460000000.0,100,246000000000.0,960.0,2.472753095626830,0.323229590369131,0.19873966773351,0.524721885720889,0.197015163444337,0.0459036236784111,0.257921986189256,0.25983306085854200
2.5B,2460000000.0,250,615000000000.0,960.0,2.39771853129069,0.355210242689121,0.235378947522905,0.568588534990946,0.225895498480116,0.0704840306503078,0.291111450866679,0.23998039150447200
2.5B,2460000000.0,500,1230000000000.0,960.0,2.370217847824100,0.376110392463254,0.225796413090494,0.580999846259753,0.252643176487514,0.0767723618696133,0.302464438034126,0.2625828421952430
6B,6050000000.0,20,121000000000.0,960.0,2.4542530298233000,0.30785776745622400,0.1754536016119850,0.5108171502749130,0.20734792947769200,0.04464851872374620,0.24922499350891200,0.23972929439000900
